table,public_url,qr_png,qr_svg,netmonet_url
01,https://nu-irk.github.io/table-01/,table-01.png,table-01.svg,https://netmonet.co/tip/session?qrId=0c70df9f-7b8f-4570-a082-96766b0bdc1b&wpid=5296049&o=4
02,https://nu-irk.github.io/table-02/,table-02.png,table-02.svg,https://netmonet.co/tip/session?qrId=7c307886-e61a-4a15-b735-4368cae03d6f&wpid=5296049&o=4
03,https://nu-irk.github.io/table-03/,table-03.png,table-03.svg,https://netmonet.co/tip/session?qrId=90d43b54-947d-40ca-a5d3-00399f166696&wpid=5296049&o=4
04,https://nu-irk.github.io/table-04/,table-04.png,table-04.svg,https://netmonet.co/tip/session?qrId=24f9eff0-1304-4e19-a093-579f0417356a&wpid=5296049&o=4
05,https://nu-irk.github.io/table-05/,table-05.png,table-05.svg,https://netmonet.co/tip/session?qrId=6723a3f6-c287-4a69-bf21-6f3b5a43b39d&wpid=5296049&o=4
06,https://nu-irk.github.io/table-06/,table-06.png,table-06.svg,https://netmonet.co/tip/session?qrId=0f129369-86fc-421e-a3ed-d5c24fe860c5&wpid=5296049&o=4
07,https://nu-irk.github.io/table-07/,table-07.png,table-07.svg,https://netmonet.co/tip/session?qrId=184b07cf-f593-4903-b7f7-3d999e17c645&wpid=5296049&o=4
08,https://nu-irk.github.io/table-08/,table-08.png,table-08.svg,https://netmonet.co/tip/session?qrId=1d7d9b21-d1c5-4d47-bace-9c2043696815&wpid=5296049&o=4
09,https://nu-irk.github.io/table-09/,table-09.png,table-09.svg,https://netmonet.co/tip/session?qrId=f4776ee1-22e6-490a-a132-16e8d3921abf&wpid=5296049&o=4
10,https://nu-irk.github.io/table-10/,table-10.png,table-10.svg,https://netmonet.co/tip/session?qrId=e0ec61c0-bf2d-413d-a766-4a95c70c8da6&wpid=5296049&o=4
11,https://nu-irk.github.io/table-11/,table-11.png,table-11.svg,https://netmonet.co/tip/session?qrId=6de1dd0b-ca6f-4ac2-bf6f-46bf9856915b&wpid=5296049&o=4
12,https://nu-irk.github.io/table-12/,table-12.png,table-12.svg,https://netmonet.co/tip/session?qrId=1dfc490d-6b5d-46ba-bdf8-75e5a8d869c4&wpid=5296049&o=4
