table,public_url,qr_png,qr_svg,netmonet_url
01,https://nu-irk.github.io/table-01/?qr=20260818-2,NU-table-01-NEW.png,NU-table-01-NEW.svg,https://netmonet.co/tip/session?qrId=0c70df9f-7b8f-4570-a082-96766b0bdc1b&wpid=5296049&o=4
02,https://nu-irk.github.io/table-02/?qr=20260818-2,NU-table-02-NEW.png,NU-table-02-NEW.svg,https://netmonet.co/tip/session?qrId=7c307886-e61a-4a15-b735-4368cae03d6f&wpid=5296049&o=4
03,https://nu-irk.github.io/table-03/?qr=20260818-2,NU-table-03-NEW.png,NU-table-03-NEW.svg,https://netmonet.co/tip/session?qrId=90d43b54-947d-40ca-a5d3-00399f166696&wpid=5296049&o=4
04,https://nu-irk.github.io/table-04/?qr=20260818-2,NU-table-04-NEW.png,NU-table-04-NEW.svg,https://netmonet.co/tip/session?qrId=24f9eff0-1304-4e19-a093-579f0417356a&wpid=5296049&o=4
05,https://nu-irk.github.io/table-05/?qr=20260818-2,NU-table-05-NEW.png,NU-table-05-NEW.svg,https://netmonet.co/tip/session?qrId=6723a3f6-c287-4a69-bf21-6f3b5a43b39d&wpid=5296049&o=4
06,https://nu-irk.github.io/table-06/?qr=20260818-2,NU-table-06-NEW.png,NU-table-06-NEW.svg,https://netmonet.co/tip/session?qrId=0f129369-86fc-421e-a3ed-d5c24fe860c5&wpid=5296049&o=4
07,https://nu-irk.github.io/table-07/?qr=20260818-2,NU-table-07-NEW.png,NU-table-07-NEW.svg,https://netmonet.co/tip/session?qrId=184b07cf-f593-4903-b7f7-3d999e17c645&wpid=5296049&o=4
08,https://nu-irk.github.io/table-08/?qr=20260818-2,NU-table-08-NEW.png,NU-table-08-NEW.svg,https://netmonet.co/tip/session?qrId=1d7d9b21-d1c5-4d47-bace-9c2043696815&wpid=5296049&o=4
09,https://nu-irk.github.io/table-09/?qr=20260818-2,NU-table-09-NEW.png,NU-table-09-NEW.svg,https://netmonet.co/tip/session?qrId=f4776ee1-22e6-490a-a132-16e8d3921abf&wpid=5296049&o=4
10,https://nu-irk.github.io/table-10/?qr=20260818-2,NU-table-10-NEW.png,NU-table-10-NEW.svg,https://netmonet.co/tip/session?qrId=e0ec61c0-bf2d-413d-a766-4a95c70c8da6&wpid=5296049&o=4
11,https://nu-irk.github.io/table-11/?qr=20260818-2,NU-table-11-NEW.png,NU-table-11-NEW.svg,https://netmonet.co/tip/session?qrId=6de1dd0b-ca6f-4ac2-bf6f-46bf9856915b&wpid=5296049&o=4
12,https://nu-irk.github.io/table-12/?qr=20260818-2,NU-table-12-NEW.png,NU-table-12-NEW.svg,https://netmonet.co/tip/session?qrId=1dfc490d-6b5d-46ba-bdf8-75e5a8d869c4&wpid=5296049&o=4
